Barrutia;Eserlekuak;Partido Popular (PP);Partido Socialista Obrero Español (PSOE);VOX (VOX);Sumar (SUMAR);Partit dels Socialistes de Catalunya (PSC-PSOE) (PSC);Esquerra Republicana de Catalunya (ERC);Junts (JUNTS);Euskal Herria Bildu (EH Bildu);Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV);Bloque Nacionalista Galego (BNG);Coalición Canaria (CCa);Unión del Pueblo Navarro (UPN);Partido Animalista con el Medio Ambiente (PACMA);Candidatura D'Unitat Popular-Per La Ruptura (CUP-PR);Frente Obrero (FO);Nueva Canarias-Bloque Canarista (NC-bc);Partit Demòcrata Europeu Català-Espai CIU (PDeCAT-E-CiU);Recortes Cero (RECORTES CERO);Por un Mundo más Justo (PUM+J);Unión del Pueblo Leones (UPL);Coalición Existe (EXISTE);Partido Comunista de los Trabajadores de España (PCTE);Geroa Bai (GBAI).;Soria ¡Ya! (SY);Adelante Andalucía (ADELANTE ANDALUCÍA);Escaños en Blanco para dejar Escaños Vacíos (ESCAÑOS EN BLANCO);Jaén Merece Más (JM+);Por Ávila (XAV);Bloque Extremeño (BQEX);Caminando Juntos (CJ);España Vaciada (ESPAÑA VACIADA);Falange Española de las JONS (FE de las JONS);Partido Aragonés (PAR);Partido Humanista (PH);Por Huelva (XH);Vamos Palencia (VP);Zamora Sí (Zsi);Vía Burgalesa (VB);Por Mi Región (POR MI REGIÓN);Ahora Canarias-Partido Comunista del Pueblo Canario (AHORA CANARIAS-PCPC);Partido Autónomos (PARTIDO AUTÓNOMOS);Estat Valencià del Benestar (EVB);Coalición por Melilla (CpM);Juntos por Granada (JxG);España Vaciada-Partido Castellano-Tierra Comunera (EV-PCAS-TC);Partido Regionalista del País Leonés (PREPAL);Somos Cáceres (Somos Cc);Almerienses-Regionalistas Pro Almería (ALM);Federación de los Independientes de Aragón (FIA);Tercera Edad en Acción (3e);Unidad Castellana (Ud.Ca);Grupo Independiente Palencia Tierra Viva (GITV);Partido Unionista Estado de España (PUEDE);Entre Veïns Catalunya (EVR);Libres (LB);Unidos por la Solidaridad Internacional (UNIDOS SI);Referéndum Sistema Dinero (+RDS+);Coalición de Centro Democrático (CCD);Fuerza Cívica (FUERZA CÍVICA);Zuriak
Granada;7;185996;165862;81080;58567;0;0;0;0;0;0;0;0;3143;0;658;0;0;343;765;0;0;695;0;0;0;0;0;0;0;461;0;0;0;0;0;0;0;0;0;0;0;0;0;1218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4057
Guadalajara;3;51195;46479;27126;12907;0;0;0;0;0;0;0;0;1039;0;304;0;0;162;249;0;0;191;0;0;0;0;0;0;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1143
Huelva;5;93565;92326;37572;26752;0;0;0;0;0;0;0;0;1663;0;0;0;0;217;368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2410
Huesca;3;45783;40307;15155;13774;0;0;0;0;0;0;0;0;498;0;258;0;0;64;114;0;1312;137;0;0;0;475;0;0;0;0;0;0;717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;1217
Jaén;5;137617;133819;54400;29461;0;0;0;0;0;0;0;0;1671;0;410;0;0;203;360;0;0;0;0;0;0;0;8293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2497
León;4;101605;92578;35451;18577;0;0;0;0;0;0;0;0;895;0;541;0;0;72;155;22675;0;319;0;0;0;0;0;0;0;0;486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309;0;0;0;0;0;0;0;0;0;0;0;0;0;1577
Lleida;4;23699;0;12560;14561;54414;34331;33228;0;0;0;0;0;1352;5449;247;0;1865;120;0;0;0;192;0;0;0;462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2059
Lugo;4;99769;60163;8643;10287;0;0;0;0;0;17197;0;0;645;0;233;0;0;113;149;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1251
Madrid;37;1463183;1004599;506164;557780;0;0;0;0;0;0;0;0;21742;0;7652;0;0;3784;6749;0;0;3407;0;0;0;0;0;0;0;0;0;1751;0;2902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28960
Málaga;11;302000;239172;129758;96652;0;0;0;0;0;0;0;0;8487;0;1662;0;0;888;1519;0;0;0;0;0;0;0;0;0;0;691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7509
Melilla;1;13446;6943;4359;827;0;0;0;0;0;0;0;0;160;0;0;0;0;23;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253
Murcia;10;307972;189210;163124;71578;0;0;0;0;0;0;0;0;5063;0;1201;0;0;546;0;0;0;0;0;0;0;1377;0;0;0;453;0;376;0;0;0;0;0;0;1698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;0;0;5034
Navarra;5;57134;93553;19491;43922;0;0;0;58954;0;0;0;52188;1530;0;679;0;0;252;1002;0;0;311;9938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2890
Ourense;4;93182;56035;9080;10171;0;0;0;0;0;15317;0;0;700;0;182;0;0;97;144;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;0;1109
Palencia;3;40709;33613;12504;5877;0;0;0;0;0;0;0;0;295;0;139;0;0;42;99;0;0;80;0;0;0;0;0;0;0;33;384;71;0;0;0;1917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366;0;0;0;0;0;0;0;833
Palmas (Las);8;136857;175671;77343;54369;0;0;0;0;0;0;33558;0;3570;0;635;42430;0;396;563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3062
Pontevedra;7;227658;179737;27539;75615;0;0;0;0;0;53828;0;0;3003;0;884;0;0;510;0;0;0;485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3865
Rioja (La);4;79715;62322;17056;11470;0;0;0;0;0;0;0;0;723;0;295;0;0;124;232;0;0;224;0;0;0;608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286;0;0;0;0;0;0;0;0;0;1608
Salamanca;4;93318;60718;29203;11012;0;0;0;0;0;0;0;0;631;0;278;0;0;80;205;0;0;325;0;0;0;0;0;0;0;140;1062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;489;0;0;0;0;0;0;0;0;0;0;0;0;0;1649
Santa Cruz de Tenerife;7;174770;165590;0;53632;0;0;0;0;0;0;82805;0;6147;0;1619;3165;0;766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5088
Segovia;3;39894;27113;12510;7137;0;0;0;0;0;0;0;0;307;0;183;0;0;64;136;0;0;94;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;875
Sevilla;12;353663;387760;141087;148745;0;0;0;0;0;0;0;0;9288;0;1950;0;0;1034;1765;0;0;1522;0;0;0;0;0;0;0;912;0;681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10951
Soria;2;18895;14966;4978;1711;0;0;0;0;0;0;0;0;94;0;68;0;0;9;23;0;0;43;0;9697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285
Tarragona;6;51061;0;38039;41719;121126;55461;40791;0;0;0;0;0;3797;8700;661;0;2311;267;0;0;0;405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265;0;253;0;0;0;3168
Teruel;3;26586;22226;9932;4126;0;0;0;0;0;0;0;0;172;0;94;0;0;49;36;0;11348;60;0;0;0;135;0;0;0;0;0;0;711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;410
Toledo;6;146533;126072;76044;31876;0;0;0;0;0;0;0;0;2024;0;985;0;0;275;499;0;0;0;0;0;0;0;0;0;0;0;0;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2611
Valencia/València;16;483469;461353;218657;242839;0;0;0;0;0;0;0;0;10334;0;2919;0;0;1773;1778;0;0;0;0;0;0;0;0;0;0;1056;0;731;0;0;0;0;0;0;0;0;0;1442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10810
Valladolid;5;129170;103596;47948;28049;0;0;0;0;0;0;0;0;1105;0;601;0;0;159;376;0;0;335;0;0;0;583;0;0;0;0;1226;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;463;0;0;0;0;0;0;0;115;2419
Zamora;3;46196;33601;13652;5839;0;0;0;0;0;0;0;0;313;0;121;0;0;50;81;526;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1843;0;0;0;0;0;0;0;0;166;0;0;0;0;0;0;0;0;0;0;0;0;0;922
Zaragoza;7;186776;159858;79376;69925;0;0;0;0;0;0;0;0;2428;0;1026;0;0;306;419;0;7780;561;0;0;0;2146;0;0;0;0;0;272;2745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394;0;0;0;0;0;0;0;0;0;0;4693
